AL;Maceió;H;Salinas de Maceio Beach Resort;hotel,localização,praia
PR;Curitiba;R;Taisho II;atendimento
RN;Natal;H;Ocean Palace Beach Resort & Bungalows;atendimento,vista
RS;Porto Alegre;H;Hotel Continental Porto Alegre;funcionários,localização
PR;Curitiba;A;Jardim Botânico de Curitiba;local
DF;Brasília;R;New Koto;qualidade
SP;São Paulo;R;Templo Da Carne Marcos Bassi;atendimento
SP;Atibaia;H;Bourbon Atibaia Convention & Spa Resort;hotel
PR;Curitiba;A;Museu Oscar Niemeyer;local
RS;Porto Alegre;R;Pedrini Protasio Alves;ambiente,pratos
RJ;Rio de Janeiro;R;Venga;comida,lugar
RJ;Rio de Janeiro;H;Copacabana Rio Hotel;vista
PA;Belém;R;Cacau Show;atendimento,variedade
SP;Jundiaí;R;Roma Mia Restaurante e Vinheria;ambiente,atendimento
RJ;Rio de Janeiro;R;Alessandro & Frederico;comida
RJ;Rio de Janeiro;R;Nanquim;ambiente,comida,preço
RJ;Rio de Janeiro;R;Churrascaria Mocellin;comida
RJ;Rio de Janeiro;R;Barracuda;lugar,vista
SP;Barueri;R;Outback Steakhouse;atendimento
RN;Natal;A;Midway Mall;comida
RJ;Rio de Janeiro;H;Hotel Santa Teresa - Relais & Chateaux;hotel,lugar,quartos,vista
SP;Santo André;R;Rosa's churrascaria;lugar
SP;Olímpia;H;Thermas de Olímpia Resort;restaurante
PB;João Pessoa;R;Pizza Hut;funcionários
RJ;Rio de Janeiro;R;Balada Mix;qualidade
PE;Recife;H;BEST WESTERN Manibu Recife;café de a manhã,hotel
RN;Praia da Pipa;A;Praia do Madeiro;vista
PB;João Pessoa;R;Nau Frutos do Mar;ambiente,atendimento,comida,localização
RJ;Cabo Frio;H;Pousada Laguna;café de a manhã,praia
PR;Curitiba;R;Quaranta Bistrô & Café;pratos
RS;Bento Gonçalves;R;Valle Rustico;ambiente,pratos
MS;Bonito;R;Cantinho do Peixe;lugar
SP;São Paulo;R;Rei Do Mate;variedade
PE;Recife;R;Bar Do Luna;atendimento,comida
RS;Gramado;H;Pousada Vovó Carolina;café de a manhã,funcionários,hotel,localização
SP;São Bernardo do Campo;R;Padaria Brasileira;funcionários,variedade
RJ;Rio de Janeiro;R;Zot Gastrobar;preço
RJ;Rio de Janeiro;R;Mamma Jamma Pizzeria;serviço
RJ;Arraial do Cabo;R;Bacalhau do Tuga;restaurante
RS;Caxias Do Sul;A;Shopping Iguatemi Caxia;ambiente
PR;Curitiba;H;Hotel Lumini;localização,serviço
BA;Praia Imbassaí;R;Jerimum Café e Nega Fulô Pizzaria;atendimento
GO;Goiânia;R;Coralina;ambiente
RN;Natal;H;Pousada Manga Rosa;ambiente,café de a manhã,funcionários,serviço
SP;São Paulo;R;Sancho Bar y Tapas;comida
MS;Bonito;H;Pousada Gira Sol;ambiente
RN;Tibau do Sul;R;Creperia Marinas;lugar
SP;Campos do Jordão;H;Pousada Don Raton;funcionários,lugar,quartos
RJ;Rio de Janeiro;R;Casa do Pão de Queijo;funcionários
AL;Maceió;A;Praia de Jatiúca;vista
BA;Porto Seguro;A;Axé Moi Complexo de Lazer;lugar
BA;Porto Seguro;H;BEST WESTERN Shalimar Praia Hotel;café de a manhã,lugar
SP;São Paulo;R;Galinheiro Grill;atendimento
PE;Recife;H;Hotel Coqueiral;hotel,localização
MA;Barreirinhas;H;Pousada do Rio;café de a manhã
PE;Porto de Galinhas;H;Pousada Pérola do Porto;atendimento,café de a manhã,preço,quartos,serviço
MS;Bonito;A;Balneário Municipal;lugar
SP;Campos do Jordão;R;Beto Perroy grill;local,pratos
RN;Natal;H;Pestana Natal All Inclusive Beach & Resort;funcionários,hotel
SP;São Paulo;R;Restaurante do MAM - Parque do Ibirapuera;atendimento,comida,restaurante
RJ;Cabo Frio;R;Forneria Cocinare;ambiente,atendimento
SP;São Paulo;R;Churrascaria Boi na Brasa;local
BA;Porto Seguro;A;Complexo de Lazer Tôa Tôa;comida
PR;Curitiba;H;Hotel Ibis Curitiba Batel;atendimento,hotel,localização,restaurante
MG;Belo Horizonte;A;Conjunto Arquitetônico da Pampulha;passeio
SP;Campinas;R;Cantina Fellini;ambiente,comida
RN;Natal;A;Barra de Punaú;lugar,preço
RJ;Rio de Janeiro;H;Caipihostel;funcionários
ES;Vitória;A;Praia de Camburi;opção,praia
PB;Campina Grande;R;Bar do Cuscuz;local
RS;Nova Petrópolis;H;Villa Flor Ecoresort;atendimento,qualidade
RS;Porto Alegre;H;Ibis Porto Alegre Moinhos de Vento;atendimento,quartos
RN;Praia da Pipa;H;Hotel Pipa Atlântico;funcionários
CE;Fortaleza;A;Ponte dos Ingleses;lugar
CE;Fortaleza;R;Cantinho do Faustino;comida,qualidade,restaurante
PE;Recife;H;Hotel Mercure Recife Navegantes;café de a manhã,hotel
PB;João Pessoa;H;Intercity Premium João Pessoa;localização
GO;Goiânia;H;Umuarama Plaza Hotel;hotel,lugar,pratos
RN;Mossoró;H;Thermas Hotel & Resort;atendimento,hotel
ES;Vitória;R;Bendito Bistrô;atendimento,lugar
SP;Santos;R;Beduíno;pratos
AL;Maceió;H;Salinas de Maceio Beach Resort;atendimento,comida,hotel,opção
AL;Maceió;R;Restaurante Parmegianno;ambiente,atendimento,comida,lugar,restaurante
RN;Mossoró;R;Tenda Gastronomia e Lazer;atendimento,local,restaurante
RJ;Rio de Janeiro;H;Ibis Rio de Janeiro Centro;café de a manhã,funcionários,hotel,localização
RJ;Rio de Janeiro;A;Prainha;lugar
AL;Maceió;R;Imperador dos Camarões;atendimento,lugar
SE;Aracaju;R;Cariri;praia,restaurante
RJ;Teresópolis;R;Empório Gourmet Therezópolis;ambiente
RJ;Cabo Frio;H;Casa Dois Gatos Hotel;local,localização,qualidade
RJ;Rio de Janeiro;R;Zazá Bistrô Tropical;comida,local,restaurante
SP;São Paulo;R;Laço de Ouro;restaurante
SP;São Paulo;R;Fogo De Chão;ambiente,local
RJ;Rio de Janeiro;R;Boteco Stambul Ipanema;comida,localização,restaurante
SP;Santos;R;Gotisso;atendimento,comida,restaurante
AM;Manaus;R;Taboo Sushi & Dining Club;atendimento,comida,lugar,pratos
SP;São Paulo;R;Coco Bambu JK;atendimento,comida
AL;Maceió;R;Bodega de Sertão;ambiente,atendimento
RJ;Teresópolis;A;Parque Nacional Da Serra Dos Órgãos;local
SP;Santos;R;Creperia Da Praia;ambiente,atendimento,local
